geometry,LST,NDVI
POINT (73.79188443517707 18.4951888059158),48.003704330000005,0.23849748075008392
POINT (73.79233359281913 18.4951888059158),49.196593310000026,0.19403418898582458
POINT (73.79278275046119 18.4951888059158),49.485416000000015,0.18949706852436066
POINT (73.79323190810325 18.4951888059158),49.352113220000035,0.19654957950115204
POINT (73.7936810657453 18.4951888059158),48.43779287000001,0.25
POINT (73.79413022338737 18.4951888059158),47.30642825000001,0.32182055711746216
POINT (73.79457938102942 18.4951888059158),45.67432370000003,0.3043334484100342
POINT (73.79502853867149 18.4951888059158),44.77196642000001,0.30353233218193054
POINT (73.79547769631354 18.4951888059158),43.07321048,0.238868847489357
POINT (73.7959268539556 18.4951888059158),42.536581340000026,0.3925357758998871
POINT (73.79637601159766 18.4951888059158),42.01875131,0.2157900333404541
POINT (73.79682516923972 18.4951888059158),41.26678691000001,0.21147334575653076
POINT (73.79727432688179 18.4951888059158),41.581244750000025,0.4925534725189209
POINT (73.79772348452384 18.4951888059158),40.96087412,0.45851656794548035
POINT (73.79817264216591 18.4951888059158),40.778010050000006,0.44548773765563965
POINT (73.79862179980796 18.4951888059158),40.74041183000003,0.28098976612091064
POINT (73.79907095745003 18.4951888059158),40.11833219000005,0.347920686006546
POINT (73.79952011509208 18.4951888059158),40.20207368000004,0.3469611704349518
POINT (73.79996927273415 18.4951888059158),40.622490140000025,0.29949241876602173
POINT (73.8004184303762 18.4951888059158),40.61223608000003,0.3510739207267761
POINT (73.80086758801826 18.4951888059158),40.43449904000005,0.4165608584880829
POINT (73.80131674566032 18.4951888059158),40.19011061000003,0.324506938457489
POINT (73.80176590330238 18.4951888059158),40.617363109999985,0.28240805864334106
POINT (73.80221506094445 18.4951888059158),41.365909490000035,0.4661886990070343
POINT (73.8026642185865 18.4951888059158),41.35394642,0.3059336543083191
POINT (73.80311337622857 18.4951888059158),41.20355354000003,0.4052678942680359
POINT (73.80356253387062 18.4951888059158),40.85833352,0.5680864453315735
POINT (73.80401169151268 18.4951888059158),40.410572900000005,0.47705405950546265
POINT (73.80446084915474 18.4951888059158),40.52165855000001,0.4651828110218048
POINT (73.8049100067968 18.4951888059158),40.17985655000001,0.40582695603370667
POINT (73.80535916443885 18.4951888059158),39.80729237000003,0.45814529061317444
POINT (73.80580832208092 18.4951888059158),39.991865450000034,0.285605788230896
POINT (73.80625747972297 18.4951888059158),42.34688123000001,0.011846360750496387
POINT (73.80670663736504 18.4951888059158),43.32443495000001,0.01010732538998127
POINT (73.8071557950071 18.4951888059158),41.832469220000036,0.006443433929234743
POINT (73.80760495264916 18.4951888059158),40.48235132000002,0.03196794167160988
POINT (73.80805411029122 18.4951888059158),39.861980689999996,0.30778589844703674
POINT (73.80850326793328 18.4951888059158),38.80581251000001,0.5305882096290588
POINT (73.80895242557534 18.4951888059158),38.63491151000002,0.3132839500904083
POINT (73.8094015832174 18.4951888059158),39.08438114000003,0.41472935676574707
POINT (73.80985074085946 18.4951888059158),38.83144766000004,0.35257214307785034
POINT (73.81029989850151 18.4951888059158),38.781886369999995,0.36685019731521606
POINT (73.81074905614358 18.4951888059158),38.48793665000005,0.24135299026966095
POINT (73.81119821378563 18.4951888059158),38.59560428,0.3727206289768219
POINT (73.8116473714277 18.4951888059158),38.42470328000002,0.6301742196083069
POINT (73.81209652906976 18.4951888059158),38.62123943,0.5606012940406799
POINT (73.81254568671181 18.4951888059158),40.54558469,0.36498957872390747
POINT (73.81299484435388 18.4951888059158),41.28558602000004,0.42835596203804016
POINT (73.81344400199593 18.4951888059158),41.589789800000005,0.29018867015838623
POINT (73.813893159638 18.4951888059158),41.62909703,0.29535678029060364
POINT (73.81434231728005 18.4951888059158),40.09440605000003,0.36742520332336426
POINT (73.81479147492212 18.4951888059158),40.95403808000003,0.3457637131214142
POINT (73.81524063256417 18.4951888059158),42.81856799000002,0.26284435391426086
POINT (73.81568979020624 18.4951888059158),43.866191120000025,0.20028211176395416
POINT (73.81613894784829 18.4951888059158),46.39552592000001,0.04534170404076576
POINT (73.81658810549035 18.4951888059158),46.76979911000001,0.04801059141755104
POINT (73.81703726313242 18.4951888059158),45.23681714000003,0.08074241131544113
POINT (73.81748642077447 18.4951888059158),44.26097243000001,0.2954346835613251
POINT (73.81793557841654 18.4951888059158),42.112746860000016,0.35727164149284363
POINT (73.81838473605859 18.4951888059158),40.15251239,0.21246768534183502
